ISO,Year,CL
ABW,1990,2.0
ABW,1991,2.0
ABW,1992,2.0
ABW,1993,2.0
ABW,1994,2.0
ABW,1995,2.0
ABW,1996,2.0
ABW,1997,2.0
ABW,1998,2.0
ABW,1999,2.0
ABW,2000,2.0
ABW,2001,2.0
ABW,2002,2.0
ABW,2003,2.0
ABW,2004,2.0
ABW,2005,2.0
ABW,2006,2.0
ABW,2007,2.0
ABW,2008,2.0
ABW,2009,2.0
ABW,2010,2.0
ABW,2011,2.0
ABW,2012,2.0
ABW,2013,2.0
ABW,2014,2.0
ABW,2015,2.0
ABW,2016,2.0
ABW,2017,2.0
ABW,2018,2.0
ABW,2019,2.0
ABW,2020,2.0
ABW,2021,2.0
ABW,2022,2.0
ABW,2023,2.0
ABW,2024,2.0
ABW,2025,2.0
ABW,2026,2.0
ABW,2027,2.0
ABW,2028,2.0
ABW,2029,2.0
ABW,2030,2.0
ABW,2031,2.0
ABW,2032,2.0
ABW,2033,2.0
ABW,2034,2.0
ABW,2035,2.0
ABW,2036,2.0
ABW,2037,2.0
ABW,2038,2.0
ABW,2039,2.0
ABW,2040,2.0
ABW,2041,2.0
ABW,2042,2.0
ABW,2043,2.0
ABW,2044,2.0
ABW,2045,2.0
ABW,2046,2.0
ABW,2047,2.0
ABW,2048,2.0
ABW,2049,2.0
ABW,2050,2.0
AFG,1990,8040.0
AFG,1991,8030.0
AFG,1992,8030.0
AFG,1993,7934.0
AFG,1994,7813.0
AFG,1995,7753.0
AFG,1996,7752.0
AFG,1997,7790.0
AFG,1998,7867.0
AFG,1999,7753.0
AFG,2000,7753.0
AFG,2001,7753.0
AFG,2002,7753.0
AFG,2003,7910.0
AFG,2004,7911.0
AFG,2005,7910.0
AFG,2006,7910.0
AFG,2007,7910.0
AFG,2008,7910.0
AFG,2009,7910.0
AFG,2010,7911.0
AFG,2011,7910.0
AFG,2012,7910.0
AFG,2013,7910.0
AFG,2014,7910.0
AFG,2015,7910.0
AFG,2016,7910.0
AFG,2017,7910.0
AFG,2018,7919.0
AFG,2019,7919.0
AFG,2020,7919.0
AFG,2021,7919.0
AFG,2022,7919.0
AFG,2023,7919.0
AFG,2024,7919.0
AFG,2025,7919.0
AFG,2026,7919.0
AFG,2027,7919.0
AFG,2028,7919.0
AFG,2029,7919.0
AFG,2030,7919.0
AFG,2031,7919.0
AFG,2032,7919.0
AFG,2033,7919.0
AFG,2034,7919.0
AFG,2035,7919.0
AFG,2036,7919.0
AFG,2037,7919.0
AFG,2038,7919.0
AFG,2039,7919.0
AFG,2040,7919.0
AFG,2041,7919.0
AFG,2042,7919.0
AFG,2043,7919.0
AFG,2044,7919.0
AFG,2045,7919.0
AFG,2046,7919.0
AFG,2047,7919.0
AFG,2048,7919.0
AFG,2049,7919.0
AFG,2050,7919.0
AGO,1990,3400.0
AGO,1991,3450.0
